id, num, name, flavor,abilities, skill, illustration, cost1, cost2, cost3, cost4
1,2,"Holi","Avysemenujete!?", "Vlastnost 1 se poèítá za 4 body a naopak.","images/skill.png","illus/card01.jpg", "2", "2", "2", "2"
2,2,"Šárka","Každé dítì má právo hladovìt!", "","images/skill.png","illus/card01.jpg", "1", "1", "2", "4"
3,2,"Jay","Já s nimi vlastnì soucítím!", "","images/skill.png","illus/card01.jpg", "1", "2", "1", "4"
4,2,"Smajl","Víte jak se øekne koneèník latinsky?", "","images/skill.png","illus/card01.jpg", "2", "1", "1", "4"
5,2,"Pája","Podívej jak nám tu umírají ovce!", "","images/skill.png","illus/card01.jpg", "4", "1", "2", "1"
6,2,"Koumes","Zbyteènì sprostá slova.", "","images/skill.png","illus/card01.jpg", "1", "2", "4", "1"
7,2,"Lily","A jak mi to øíkáš? To je strašnì roztomilý.", "","images/skill.png","illus/card01.jpg", "2", "1", "4", "1"
8,2,"Kapík","Žádný rum, žádná loïka!", "Všechny ètyøkové vlastnosti se poèítají pouze za tøi.","images/skill.png","illus/card01.jpg", "1", "4", "1", "2"
9,2,"Tetris","A já si øíkam, jakej že to má smysl?", "","images/skill.png","illus/card01.jpg", "1", "4", "2", "1"
10,2,"Lex","Komu vloèka, toho èert.", "","images/skill.png","illus/card01.jpg", "2", "4", "1", "1"
11,2,"Kája","Tak já už to poèítam na desítky, žejo.", "","images/skill.png","illus/card01.jpg", "4", "1", "1", "2"
12,1,"Šunka","Žižkovy voèi!", "Vyber dvì vyložené karty úèinkujících - jejich statistiky budou prohozené.", "images/skill.png","illus/card01.jpg", "1", "1", "4", "2"
13,1,"Magi","Potøebuju jíl!", "Vyber dvì vyložené karty úèinkujících - jejich statistiky budou prohozené.", "images/skill.png","illus/card01.jpg", "4", "2", "1", "1"
